number,value,datetime_start,datetime_complete,duration,params_cycles,params_label_smoothing,params_lr,params_mc_cycles,params_mc_threshold,params_reconstruct_weight,state
31,0.8449837887580656,2026-06-15 23:33:32.588398,2026-06-15 23:33:35.210331,0 days 00:00:02.621933,57,0.2677363224719093,0.002595052458804453,17,0.5818637722378239,0.18259231634038528,COMPLETE
32,0.8622628204123672,2026-06-15 23:33:35.210969,2026-06-15 23:33:37.160742,0 days 00:00:01.949773,50,0.24525268525444135,0.004419593994057916,18,0.5381680186226273,0.3206746697382947,COMPLETE
33,0.8413372347018602,2026-06-15 23:33:37.161423,2026-06-15 23:33:40.676642,0 days 00:00:03.515219,87,0.2084657943991588,0.0065377658818946,19,0.5328597176746205,0.3293637165850977,COMPLETE
34,0.8551965700279516,2026-06-15 23:33:40.677302,2026-06-15 23:33:43.640570,0 days 00:00:02.963268,78,0.24599289950871192,0.003716167262788621,18,0.6318974346303549,0.2879652899399002,COMPLETE
35,0.8490425741922749,2026-06-15 23:33:43.641223,2026-06-15 23:33:47.431366,0 days 00:00:03.790143,104,0.29729363850141943,0.0005087380999099509,16,0.5133821824413415,0.386306474292321,COMPLETE
36,0.8553243911971327,2026-06-15 23:33:47.432188,2026-06-15 23:33:49.719582,0 days 00:00:02.287394,63,0.17784416635192984,0.001588574800514823,20,0.5667360389511199,0.4999452409439568,COMPLETE
37,0.8527757531584061,2026-06-15 23:33:49.720223,2026-06-15 23:33:52.913312,0 days 00:00:03.193089,92,0.2781724110655905,0.001072400272615676,13,0.6842589842137233,0.2500288586911546,COMPLETE
38,0.8499147502511267,2026-06-15 23:33:52.913952,2026-06-15 23:33:55.531963,0 days 00:00:02.618011,69,0.03827146105760745,0.00252476790974817,21,0.8757633079606968,0.3213614431601079,COMPLETE
39,0.8508641260955765,2026-06-15 23:33:55.532672,2026-06-15 23:33:58.941959,0 days 00:00:03.409287,96,0.21524467996166768,0.003471587964702326,18,0.5288784054609691,0.27457389848879926,COMPLETE
40,0.8336337853290989,2026-06-15 23:33:58.942669,2026-06-15 23:34:02.907753,0 days 00:00:03.965084,110,0.15117298472878343,0.004411667551255012,29,0.5020224990998476,0.4151102801305017,COMPLETE
41,0.8521783867572577,2026-06-15 23:34:02.908372,2026-06-15 23:34:05.128048,0 days 00:00:02.219676,51,0.2562798185084841,0.004658867556524577,16,0.5878545935523185,0.10402470377881834,COMPLETE
42,0.8619452245842276,2026-06-15 23:34:05.128734,2026-06-15 23:34:12.840130,0 days 00:00:07.711396,63,0.2717099324769871,0.005746403586291651,17,0.5983327957159296,0.16329588216657234,COMPLETE
43,0.8621936852828658,2026-06-15 23:34:12.842151,2026-06-15 23:34:21.272157,0 days 00:00:08.430006,59,0.23977696365550868,0.008531115970594324,21,0.5720163695208409,0.19897423195580022,COMPLETE
44,0.8662021351447367,2026-06-15 23:34:21.274282,2026-06-15 23:34:29.866152,0 days 00:00:08.591870,59,0.23594119476578088,0.009587893152281445,21,0.5703579889600516,0.22422803974770122,COMPLETE
45,0.8489197341638668,2026-06-15 23:34:29.867374,2026-06-15 23:34:40.955131,0 days 00:00:11.087757,79,0.17780714300286302,0.009678615595349962,23,0.6390911809695832,0.23581796503039532,COMPLETE
46,0.8423532286303749,2026-06-15 23:34:40.958284,2026-06-15 23:34:51.470706,0 days 00:00:10.512422,74,0.22679152334662406,0.0030571460344762753,21,0.5389816549249178,0.20604253813747653,COMPLETE
47,0.8153754061912092,2026-06-15 23:34:51.472661,2026-06-15 23:34:59.941614,0 days 00:00:08.468953,56,0.2499787568272557,0.006848138645109072,19,0.8071454058633999,0.28184059761408836,COMPLETE
48,0.8497406805701373,2026-06-15 23:34:59.943404,2026-06-15 23:35:09.437091,0 days 00:00:09.493687,66,0.06498706476758874,0.0015939713594565065,18,0.5697088779476545,0.34222443877873404,COMPLETE
49,0.8315041971135129,2026-06-15 23:35:09.439270,2026-06-15 23:35:31.087035,0 days 00:00:21.647765,164,0.026563518249363167,0.0023619726272515527,14,0.9507106185567965,0.37201216911671525,COMPLETE
50,0.8507660122984595,2026-06-15 23:35:31.089091,2026-06-15 23:35:42.617973,0 days 00:00:11.528882,84,0.28490212532466574,0.0029897811450067236,20,0.6684512099719226,0.29802841343926695,COMPLETE
51,0.850694180580585,2026-06-15 23:35:42.621457,2026-06-15 23:35:51.171110,0 days 00:00:08.549653,60,0.23676036681987125,0.00815597562556138,21,0.5688838729548307,0.16687251744136083,COMPLETE
52,0.8582481202389566,2026-06-15 23:35:51.172449,2026-06-15 23:35:59.047607,0 days 00:00:07.875158,57,0.2340230723828254,0.008619738980925403,27,0.6164000564404885,0.21937453738729837,COMPLETE
53,0.848335512299051,2026-06-15 23:35:59.049763,2026-06-15 23:36:09.449764,0 days 00:00:10.400001,71,0.22161831677925878,0.006165552427104859,22,0.5215008588633544,0.24780694900406458,COMPLETE
54,0.8649763284177798,2026-06-15 23:36:09.451744,2026-06-15 23:36:18.233252,0 days 00:00:08.781508,56,0.26340583614885604,0.005215345377004999,23,0.5616213878976619,0.3317005131362251,COMPLETE
55,0.7444542257418029,2026-06-15 23:36:18.235158,2026-06-15 23:36:25.761154,0 days 00:00:07.525996,50,0.264619225405736,0.0002783841285883333,23,0.5496648680018557,0.33936230216435637,COMPLETE
56,0.8672367132852956,2026-06-15 23:36:25.763238,2026-06-15 23:36:37.126014,0 days 00:00:11.362776,79,0.2998572415498837,0.005002451701236651,27,0.5974895143947077,0.3630792015037183,COMPLETE
57,0.8532296826315798,2026-06-15 23:36:37.128251,2026-06-15 23:36:48.627804,0 days 00:00:11.499553,78,0.288281619623032,0.005221516059653804,26,0.60371437116184,0.3637199900532365,COMPLETE
58,0.8390349951614774,2026-06-15 23:36:48.630073,2026-06-15 23:36:58.449723,0 days 00:00:09.819650,66,0.0009200803380787787,0.004281501068419468,30,0.7105381603761268,0.2653797200000737,COMPLETE
59,0.8617547024846486,2026-06-15 23:36:58.452546,2026-06-15 23:37:06.920194,0 days 00:00:08.467648,55,0.2966875431703387,0.006890351436398384,28,0.5561979829186854,0.30624320387385995,COMPLETE
60,0.8439437425203605,2026-06-15 23:37:06.922760,2026-06-15 23:37:17.749629,0 days 00:00:10.826869,88,0.1057106106710824,0.0031343024535910534,27,0.6315124482395552,0.35311436395283635,COMPLETE
61,0.8553635635088539,2026-06-15 23:37:17.750826,2026-06-15 23:37:27.188404,0 days 00:00:09.437578,74,0.2517704362101808,0.0040879364889502764,18,0.588225558189804,0.37951265764131586,COMPLETE
62,0.8509152736484593,2026-06-15 23:37:27.190314,2026-06-15 23:37:38.835832,0 days 00:00:11.645518,82,0.2806435557965542,0.0017627884908287565,25,0.6594516325320829,0.41333505762475875,COMPLETE
63,0.8617719141950978,2026-06-15 23:37:38.837679,2026-06-15 23:37:48.509026,0 days 00:00:09.671347,67,0.2687258486533135,0.0022565581486985366,16,0.537302869321377,0.399977352759265,COMPLETE
